"state","county","Estimate!!Total:","Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","GEO_ID","NAME"
"47","147",71813,61655,5412,239,384,14,2788,1321,62,1259,"0500000US47147","Robertson County, Tennessee"
"47","009",133088,124866,3879,135,1114,0,946,2148,43,2105,"0500000US47009","Blount County, Tennessee"
"47","113",97984,54678,36415,446,1124,0,3298,2023,175,1848,"0500000US47113","Madison County, Tennessee"
"47","187",238412,210037,8940,255,10989,0,1171,7020,69,6951,"0500000US47187","Williamson County, Tennessee"
"47","059",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0500000US47059","Greene County, Tennessee"
"47","141",80245,74631,2007,0,1022,0,375,2210,0,2210,"0500000US47141","Putnam County, Tennessee"
"47","155",98250,92589,1884,262,484,0,813,2218,201,2017,"0500000US47155","Sevier County, Tennessee"
"47","011",108110,94926,6983,178,870,0,3219,1934,216,1718,"0500000US47011","Bradley County, Tennessee"
"47","093",470313,402137,38615,2471,10101,114,3628,13247,877,12370,"0500000US47093","Knox County, Tennessee"
"47","001",76978,69711,3315,440,1245,329,529,1409,430,979,"0500000US47001","Anderson County, Tennessee"
"47","149",332285,250555,50241,306,13065,262,5412,12444,1103,11341,"0500000US47149","Rutherford County, Tennessee"
"47","189",144657,124756,9670,891,2692,0,2997,3651,620,3031,"0500000US47189","Wilson County, Tennessee"
"47","165",191283,163488,15485,431,3487,172,5258,2962,86,2876,"0500000US47165","Sumner County, Tennessee"
"47","157",937166,365798,504715,1129,26200,140,23656,15528,977,14551,"0500000US47157","Shelby County, Tennessee"
"47","037",694144,439010,185846,2053,26193,787,23724,16531,1487,15044,"0500000US47037","Davidson County, Tennessee"
"47","125",208993,143019,42405,1038,4234,683,4331,13283,740,12543,"0500000US47125","Montgomery County, Tennessee"
"47","065",367804,274851,67998,771,7453,338,7240,9153,526,8627,"0500000US47065","Hamilton County, Tennessee"
"47","163",158348,149208,3241,326,1167,0,992,3414,134,3280,"0500000US47163","Sullivan County, Tennessee"
"47","179",129375,118437,5193,1656,2198,0,63,1828,64,1764,"0500000US47179","Washington County, Tennessee"
"47","119",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0500000US47119","Maury County, Tennessee"
