"metro_area","sex","age","estimate"
"Chattanooga, TN-GA Metro Area","Total",NA,566153
"Chattanooga, TN-GA Metro Area","Male","",277630
"Chattanooga, TN-GA Metro Area","Male","Under 5 years",18766
"Chattanooga, TN-GA Metro Area","Male","5 to 9 years",18645
"Chattanooga, TN-GA Metro Area","Male","10 to 14 years",16438
"Chattanooga, TN-GA Metro Area","Male","15 to 17 years",10756
"Chattanooga, TN-GA Metro Area","Male","18 and 19 years",7256
"Chattanooga, TN-GA Metro Area","Male","20 years",3673
"Chattanooga, TN-GA Metro Area","Male","21 years",2515
"Chattanooga, TN-GA Metro Area","Male","22 to 24 years",10412
"Chattanooga, TN-GA Metro Area","Male","25 to 29 years",19646
"Chattanooga, TN-GA Metro Area","Male","30 to 34 years",18320
"Chattanooga, TN-GA Metro Area","Male","35 to 39 years",16747
"Chattanooga, TN-GA Metro Area","Male","40 to 44 years",18190
"Chattanooga, TN-GA Metro Area","Male","45 to 49 years",17685
"Chattanooga, TN-GA Metro Area","Male","50 to 54 years",16461
"Chattanooga, TN-GA Metro Area","Male","55 to 59 years",18032
"Chattanooga, TN-GA Metro Area","Male","60 and 61 years",6819
"Chattanooga, TN-GA Metro Area","Male","62 to 64 years",11967
"Chattanooga, TN-GA Metro Area","Male","65 and 66 years",6868
"Chattanooga, TN-GA Metro Area","Male","67 to 69 years",8251
"Chattanooga, TN-GA Metro Area","Male","70 to 74 years",12670
"Chattanooga, TN-GA Metro Area","Male","75 to 79 years",8795
"Chattanooga, TN-GA Metro Area","Male","80 to 84 years",4757
"Chattanooga, TN-GA Metro Area","Male","85 years and over",3961
"Chattanooga, TN-GA Metro Area","Female","",288523
"Chattanooga, TN-GA Metro Area","Female","Under 5 years",14308
"Chattanooga, TN-GA Metro Area","Female","5 to 9 years",14311
"Chattanooga, TN-GA Metro Area","Female","10 to 14 years",17786
"Chattanooga, TN-GA Metro Area","Female","15 to 17 years",9422
"Chattanooga, TN-GA Metro Area","Female","18 and 19 years",8450
"Chattanooga, TN-GA Metro Area","Female","20 years",4818
"Chattanooga, TN-GA Metro Area","Female","21 years",2843
"Chattanooga, TN-GA Metro Area","Female","22 to 24 years",8536
"Chattanooga, TN-GA Metro Area","Female","25 to 29 years",19639
"Chattanooga, TN-GA Metro Area","Female","30 to 34 years",19492
"Chattanooga, TN-GA Metro Area","Female","35 to 39 years",17154
"Chattanooga, TN-GA Metro Area","Female","40 to 44 years",18395
"Chattanooga, TN-GA Metro Area","Female","45 to 49 years",17890
"Chattanooga, TN-GA Metro Area","Female","50 to 54 years",17725
"Chattanooga, TN-GA Metro Area","Female","55 to 59 years",18431
"Chattanooga, TN-GA Metro Area","Female","60 and 61 years",8944
"Chattanooga, TN-GA Metro Area","Female","62 to 64 years",12847
"Chattanooga, TN-GA Metro Area","Female","65 and 66 years",6607
"Chattanooga, TN-GA Metro Area","Female","67 to 69 years",10144
"Chattanooga, TN-GA Metro Area","Female","70 to 74 years",14943
"Chattanooga, TN-GA Metro Area","Female","75 to 79 years",10471
"Chattanooga, TN-GA Metro Area","Female","80 to 84 years",6819
"Chattanooga, TN-GA Metro Area","Female","85 years and over",8548
"Memphis, TN-MS-AR Metro Area","Total",NA,1344910
"Memphis, TN-MS-AR Metro Area","Male","",643556
"Memphis, TN-MS-AR Metro Area","Male","Under 5 years",45894
"Memphis, TN-MS-AR Metro Area","Male","5 to 9 years",46372
"Memphis, TN-MS-AR Metro Area","Male","10 to 14 years",47008
"Memphis, TN-MS-AR Metro Area","Male","15 to 17 years",29874
"Memphis, TN-MS-AR Metro Area","Male","18 and 19 years",17071
"Memphis, TN-MS-AR Metro Area","Male","20 years",9032
"Memphis, TN-MS-AR Metro Area","Male","21 years",8703
"Memphis, TN-MS-AR Metro Area","Male","22 to 24 years",25476
"Memphis, TN-MS-AR Metro Area","Male","25 to 29 years",49635
"Memphis, TN-MS-AR Metro Area","Male","30 to 34 years",42382
"Memphis, TN-MS-AR Metro Area","Male","35 to 39 years",43367
"Memphis, TN-MS-AR Metro Area","Male","40 to 44 years",36721
"Memphis, TN-MS-AR Metro Area","Male","45 to 49 years",41648
"Memphis, TN-MS-AR Metro Area","Male","50 to 54 years",39532
"Memphis, TN-MS-AR Metro Area","Male","55 to 59 years",39468
"Memphis, TN-MS-AR Metro Area","Male","60 and 61 years",17457
"Memphis, TN-MS-AR Metro Area","Male","62 to 64 years",23387
"Memphis, TN-MS-AR Metro Area","Male","65 and 66 years",12004
"Memphis, TN-MS-AR Metro Area","Male","67 to 69 years",16948
"Memphis, TN-MS-AR Metro Area","Male","70 to 74 years",23414
"Memphis, TN-MS-AR Metro Area","Male","75 to 79 years",15574
"Memphis, TN-MS-AR Metro Area","Male","80 to 84 years",6822
"Memphis, TN-MS-AR Metro Area","Male","85 years and over",5767
"Memphis, TN-MS-AR Metro Area","Female","",701354
"Memphis, TN-MS-AR Metro Area","Female","Under 5 years",44795
"Memphis, TN-MS-AR Metro Area","Female","5 to 9 years",45302
"Memphis, TN-MS-AR Metro Area","Female","10 to 14 years",45744
"Memphis, TN-MS-AR Metro Area","Female","15 to 17 years",25753
"Memphis, TN-MS-AR Metro Area","Female","18 and 19 years",17204
"Memphis, TN-MS-AR Metro Area","Female","20 years",7880
"Memphis, TN-MS-AR Metro Area","Female","21 years",9999
"Memphis, TN-MS-AR Metro Area","Female","22 to 24 years",25676
"Memphis, TN-MS-AR Metro Area","Female","25 to 29 years",50810
"Memphis, TN-MS-AR Metro Area","Female","30 to 34 years",48279
"Memphis, TN-MS-AR Metro Area","Female","35 to 39 years",46241
"Memphis, TN-MS-AR Metro Area","Female","40 to 44 years",43249
"Memphis, TN-MS-AR Metro Area","Female","45 to 49 years",45282
"Memphis, TN-MS-AR Metro Area","Female","50 to 54 years",42603
"Memphis, TN-MS-AR Metro Area","Female","55 to 59 years",46708
"Memphis, TN-MS-AR Metro Area","Female","60 and 61 years",17907
"Memphis, TN-MS-AR Metro Area","Female","62 to 64 years",26314
"Memphis, TN-MS-AR Metro Area","Female","65 and 66 years",13958
"Memphis, TN-MS-AR Metro Area","Female","67 to 69 years",20881
"Memphis, TN-MS-AR Metro Area","Female","70 to 74 years",31066
"Memphis, TN-MS-AR Metro Area","Female","75 to 79 years",19351
"Memphis, TN-MS-AR Metro Area","Female","80 to 84 years",13460
"Memphis, TN-MS-AR Metro Area","Female","85 years and over",12892
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Total",NA,1933860
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","",946073
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","Under 5 years",61130
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","5 to 9 years",58670
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","10 to 14 years",69696
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","15 to 17 years",38053
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","18 and 19 years",28755
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","20 years",13972
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","21 years",12476
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","22 to 24 years",35624
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","25 to 29 years",72960
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","30 to 34 years",72202
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","35 to 39 years",66326
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","40 to 44 years",64967
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Male","45 to 49 years",64335
