metro_area,race,estimate
"Chattanooga, TN-GA Metro Area",Total,566153
"Chattanooga, TN-GA Metro Area",White,458761
"Chattanooga, TN-GA Metro Area",Black,75097
"Chattanooga, TN-GA Metro Area",Asian,9159
"Chattanooga, TN-GA Metro Area",AIAN,1226
"Chattanooga, TN-GA Metro Area",NHPI,338
"Chattanooga, TN-GA Metro Area",Other,8200
"Chattanooga, TN-GA Metro Area",Multiple,13372
"Memphis, TN-MS-AR Metro Area",Total,1344910
"Memphis, TN-MS-AR Metro Area",White,620191
"Memphis, TN-MS-AR Metro Area",Black,639948
"Memphis, TN-MS-AR Metro Area",Asian,30437
"Memphis, TN-MS-AR Metro Area",AIAN,2178
"Memphis, TN-MS-AR Metro Area",NHPI,140
"Memphis, TN-MS-AR Metro Area",Other,27992
"Memphis, TN-MS-AR Metro Area",Multiple,24024
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Total,1933860
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",White,1483052
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Black,294629
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Asian,57245
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",AIAN,4766
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",NHPI,1243
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Other,44032
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Multiple,48893
"Knoxville, TN Metro Area",Total,869525
"Knoxville, TN Metro Area",White,775816
"Knoxville, TN Metro Area",Black,49702
"Knoxville, TN Metro Area",Asian,13510
"Knoxville, TN Metro Area",AIAN,3902
"Knoxville, TN Metro Area",NHPI,443
"Knoxville, TN Metro Area",Other,6141
"Knoxville, TN Metro Area",Multiple,20011
