metro_area,sex,age,estimate
"Chattanooga, TN-GA Metro Area",Male,20 to 29,32573
"Chattanooga, TN-GA Metro Area",Male,30 to 39,35067
"Chattanooga, TN-GA Metro Area",Male,40 to 49,35875
"Chattanooga, TN-GA Metro Area",Male,50 to 59,34493
"Chattanooga, TN-GA Metro Area",Male,60 and over,64088
"Memphis, TN-MS-AR Metro Area",Male,20 to 29,83814
"Memphis, TN-MS-AR Metro Area",Male,30 to 39,85749
"Memphis, TN-MS-AR Metro Area",Male,40 to 49,78369
"Memphis, TN-MS-AR Metro Area",Male,50 to 59,79000
"Memphis, TN-MS-AR Metro Area",Male,60 and over,121373
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Male,20 to 29,121060
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Male,30 to 39,138528
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Male,40 to 49,129302
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Male,50 to 59,120075
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Male,60 and over,166832
"Knoxville, TN Metro Area",Male,20 to 29,53336
"Knoxville, TN Metro Area",Male,30 to 39,51228
"Knoxville, TN Metro Area",Male,40 to 49,54722
"Knoxville, TN Metro Area",Male,50 to 59,55439
"Knoxville, TN Metro Area",Male,60 and over,98883
"Chattanooga, TN-GA Metro Area",Female,20 to 29,31018
"Chattanooga, TN-GA Metro Area",Female,30 to 39,36646
"Chattanooga, TN-GA Metro Area",Female,40 to 49,36285
"Chattanooga, TN-GA Metro Area",Female,50 to 59,36156
"Chattanooga, TN-GA Metro Area",Female,60 and over,79323
"Memphis, TN-MS-AR Metro Area",Female,20 to 29,86485
"Memphis, TN-MS-AR Metro Area",Female,30 to 39,94520
"Memphis, TN-MS-AR Metro Area",Female,40 to 49,88531
"Memphis, TN-MS-AR Metro Area",Female,50 to 59,89311
"Memphis, TN-MS-AR Metro Area",Female,60 and over,155829
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Female,20 to 29,128086
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Female,30 to 39,145651
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Female,40 to 49,129086
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Female,50 to 59,126307
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Female,60 and over,206323
"Knoxville, TN Metro Area",Female,20 to 29,53821
"Knoxville, TN Metro Area",Female,30 to 39,54550
"Knoxville, TN Metro Area",Female,40 to 49,53690
"Knoxville, TN Metro Area",Female,50 to 59,60193
"Knoxville, TN Metro Area",Female,60 and over,119609
